Time,Servers,AverageCPU,Sessions,Pheromone
153001.01,3,0.5,18.0,80.43866666666052
153061.01,3,0.5433333333333333,22.0,80.55422222221607
153121.01,3,0.4666666666666666,23.0,79.99866666666054
153181.01,3,0.4566666666666667,27.0,81.01733333332716
153241.01,3,0.33,29.0,80.505333333327
153301.01,3,0.42,30.0,80.16933333332688
153361.01,3,0.38999999999999996,28.0,78.30977777777117
153421.01,3,0.38000000000000006,30.0,78.95511111110449
153481.01,3,0.4033333333333333,26.0,79.30355555554881
153541.01,3,0.42333333333333334,22.0,81.10355555554922
153601.01,3,0.38999999999999996,22.0,81.23777777777134
153661.01,3,0.3933333333333333,20.0,82.79066666666019
153721.01,3,0.5399999999999999,23.0,82.98888888888222
153781.01,3,0.44,27.0,83.49822222221572
153841.01,3,0.45333333333333337,29.0,83.28222222221565
153901.01,3,0.5566666666666666,33.0,82.91777777777115
153961.01,3,0.29000000000000004,33.0,83.79511111110453
154021.01,3,0.5066666666666667,25.0,85.14888888888214
154081.01,3,0.27999999999999997,22.0,84.8431111111043
154141.01,3,0.27,25.0,85.41555555554883
154201.01,3,0.5333333333333333,22.0,85.62888888888209
154261.01,3,0.5633333333333334,24.0,84.48399999999317
154321.01,3,0.5066666666666667,26.0,84.43244444443765
154381.01,3,0.39666666666666667,22.0,85.31599999999317
154441.01,3,0.22999999999999998,20.0,84.92222222221527
154501.01,3,0.47333333333333333,14.0,86.45822222221511
154561.01,3,0.4000000000000001,11.0,87.74355555554838
154621.01,3,0.44999999999999996,17.0,86.49733333332615
154681.01,3,0.35666666666666663,24.0,87.9239999999927
154741.01,3,0.44333333333333336,29.0,89.07955555554823
154801.01,3,0.1466666666666667,32.0,87.3319999999926
154861.01,3,0.6366666666666667,30.0,87.47333333332587
154921.01,3,0.3233333333333333,26.0,88.8039999999924
154981.01,3,0.41333333333333333,42.0,88.53377777777011
155041.01,3,0.3133333333333333,40.0,88.70799999999228
155101.01,2,0.47500000000000003,27.0,60.31066666666655
155161.01,2,0.725,22.0,57.51999999999975
155221.01,2,0.8400000000000001,17.0,55.359999999999715
155281.01,2,0.78,17.0,52.195999999999685
155341.01,2,1.0,19.0,49.36266666666633
155401.01,2,0.89,21.0,45.974666666666224
155461.01,2,0.79,25.0,42.6479999999995
155521.01,2,0.86,20.0,40.3279999999994
155581.01,2,0.7150000000000001,23.0,36.99599999999937
155641.01,2,0.645,24.0,33.75999999999931
155701.01,2,0.785,22.0,30.431999999999245
155761.01,2,0.79,23.0,27.29333333333244
155821.01,2,0.7949999999999999,25.0,24.525333333332384
155881.01,3,0.5133333333333334,23.0,58.012888888888774
155941.01,3,0.4066666666666667,30.0,57.516888888888666
