Time,Servers,AverageCPU,Sessions,Pheromone
26280.01,5,0.4680000000000001,23.0,NaN
26340.01,5,0.472,24.0,NaN
26400.01,5,0.38,25.0,NaN
26460.01,5,0.40800000000000003,25.0,NaN
26520.01,5,0.49800000000000005,27.0,NaN
26580.01,5,0.43800000000000006,21.0,NaN
26640.01,5,0.312,23.0,NaN
26700.01,5,0.39799999999999996,21.0,NaN
26760.01,5,0.33399999999999996,17.0,NaN
26820.01,5,0.46799999999999997,21.0,NaN
26880.01,5,0.466,22.0,NaN
26940.01,5,0.466,25.0,NaN
27000.01,5,0.4779999999999999,23.0,NaN
27060.01,5,0.396,21.0,NaN
27120.01,5,0.454,20.0,NaN
27180.01,5,0.446,20.0,NaN
27240.01,5,0.45,20.0,NaN
27300.01,5,0.31799999999999995,25.0,NaN
27360.01,5,0.384,26.0,NaN
27420.01,5,0.502,26.0,NaN
27480.01,5,0.382,26.0,NaN
27540.01,5,0.406,26.0,NaN
27600.01,5,0.466,28.0,NaN
27660.01,5,0.466,31.0,NaN
27720.01,5,0.462,29.0,NaN
27780.01,5,0.42000000000000004,28.0,NaN
27840.01,5,0.376,25.0,NaN
27900.01,5,0.4699999999999999,27.0,NaN
27960.01,5,0.42600000000000005,25.0,NaN
28020.01,5,0.46399999999999997,24.0,NaN
28080.01,5,0.398,16.0,NaN
28140.01,5,0.40199999999999997,14.0,NaN
28200.01,5,0.42400000000000004,14.0,NaN
28260.01,5,0.43600000000000005,18.0,NaN
28320.01,5,0.434,26.0,NaN
28380.01,5,0.542,26.0,NaN
28440.01,5,0.55,23.0,NaN
28500.01,5,0.352,20.0,NaN
28560.01,5,0.49399999999999994,22.0,NaN
28620.01,5,0.5040000000000001,26.0,NaN
28680.01,5,0.40199999999999997,28.0,NaN
28740.01,5,0.34400000000000003,23.0,NaN
28800.01,5,0.5,21.0,NaN
28860.01,5,0.524,22.0,NaN
28920.01,5,0.472,19.0,NaN
28980.01,5,0.43999999999999995,20.0,NaN
29040.01,5,0.502,24.0,NaN
29100.01,5,0.42400000000000004,20.0,NaN
29160.01,5,0.38,26.0,NaN
29220.01,5,0.438,32.0,NaN
29280.01,5,0.49400000000000005,33.0,NaN
29340.01,5,0.418,32.0,NaN
29400.01,5,0.44399999999999995,21.0,NaN
29460.01,5,0.48199999999999993,15.0,NaN
29520.01,5,0.472,22.0,NaN
29580.01,5,0.45599999999999996,26.0,NaN
29640.01,5,0.398,29.0,NaN
29700.01,5,0.5599999999999999,32.0,NaN
29760.01,5,0.48199999999999993,31.0,NaN
29820.01,5,0.43600000000000005,41.0,NaN
29880.01,5,0.43600000000000005,47.0,NaN
29940.01,5,0.352,50.0,NaN
30000.01,5,0.28200000000000003,45.0,NaN
30060.01,5,0.49800000000000005,29.0,NaN
30120.01,5,0.356,27.0,NaN
30180.01,5,0.45400000000000007,25.0,NaN
30240.01,5,0.426,30.0,NaN
30300.01,5,0.31999999999999995,24.0,NaN
30360.01,5,0.344,29.0,NaN
30420.01,5,0.49400000000000005,29.0,NaN
30480.01,5,0.516,30.0,NaN
30540.01,5,0.5359999999999999,30.0,NaN
30600.01,5,0.692,34.0,NaN
30660.01,5,0.446,37.0,NaN
30720.01,5,0.43999999999999995,36.0,NaN
30780.01,5,0.458,34.0,NaN
30840.01,5,0.476,33.0,NaN
30900.01,5,0.45200000000000007,31.0,NaN
30960.01,5,0.438,25.0,NaN
31020.01,5,0.33,26.0,NaN
31080.01,5,0.406,24.0,NaN
31140.01,5,0.442,31.0,NaN
31200.01,5,0.466,30.0,NaN
31260.01,5,0.418,31.0,NaN
31320.01,5,0.454,23.0,NaN
31380.01,5,0.41600000000000004,25.0,NaN
31440.01,5,0.388,25.0,NaN
31500.01,5,0.438,25.0,NaN
31560.01,5,0.45200000000000007,33.0,NaN
31620.01,5,0.378,34.0,NaN
31680.01,5,0.434,37.0,NaN
31740.01,5,0.45,39.0,NaN
31800.01,5,0.446,39.0,NaN
31860.01,5,0.41,38.0,NaN
31920.01,5,0.51,36.0,NaN
31980.01,5,0.402,31.0,NaN
32040.01,5,0.476,28.0,NaN
32100.01,5,0.47000000000000003,23.0,NaN
32160.01,5,0.434,23.0,NaN
32220.01,5,0.434,26.0,NaN
32280.01,5,0.39399999999999996,26.0,NaN
32340.01,5,0.45600000000000007,25.0,NaN
32400.01,5,0.42800000000000005,24.0,NaN
32460.01,5,0.472,28.0,NaN
32520.01,5,0.4,32.0,NaN
32580.01,5,0.40800000000000003,42.0,NaN
32640.01,5,0.33399999999999996,45.0,NaN
32700.01,5,0.39,44.0,NaN
32760.01,5,0.372,44.0,NaN
32820.01,5,0.45199999999999996,48.0,NaN
32880.01,5,0.5660000000000001,44.0,NaN
32940.01,5,0.398,46.0,NaN
33000.01,5,0.388,35.0,NaN
33060.01,5,0.384,35.0,NaN
33120.01,5,0.524,43.0,NaN
33180.01,5,0.438,51.0,NaN
33240.01,5,0.47000000000000003,51.0,NaN
33300.01,5,0.4040000000000001,46.0,NaN
33360.01,5,0.512,50.0,NaN
33420.01,5,0.48600000000000004,43.0,NaN
33480.01,5,0.42400000000000004,44.0,NaN
33540.01,5,0.466,41.0,NaN
33600.01,5,0.35,32.0,NaN
33660.01,5,0.42800000000000005,31.0,NaN
33720.01,5,0.4760000000000001,37.0,NaN
33780.01,5,0.45,34.0,NaN
33840.01,5,0.46799999999999997,32.0,NaN
33900.01,5,0.44600000000000006,27.0,NaN
33960.01,5,0.39999999999999997,28.0,NaN
34020.01,5,0.4,32.0,NaN
34080.01,5,0.5599999999999999,41.0,NaN
34140.01,5,0.38,37.0,NaN
34200.01,5,0.4720000000000001,36.0,NaN
34260.01,5,0.582,40.0,NaN
34320.01,5,0.496,47.0,NaN
34380.01,5,0.44400000000000006,47.0,NaN
34440.01,5,0.48,38.0,NaN
34500.01,5,0.5660000000000001,36.0,NaN
34560.01,5,0.458,34.0,NaN
34620.01,5,0.43,38.0,NaN
34680.01,5,0.592,45.0,NaN
34740.01,5,0.34800000000000003,46.0,NaN
34800.01,5,0.6399999999999999,43.0,NaN
34860.01,5,0.49400000000000005,45.0,NaN
34920.01,5,0.442,46.0,NaN
34980.01,5,0.472,45.0,NaN
35040.01,5,0.5980000000000001,39.0,NaN
35100.01,5,0.572,51.0,NaN
35160.01,5,0.354,54.0,NaN
35220.01,5,0.42800000000000005,46.0,NaN
35280.01,5,0.49799999999999994,52.0,NaN
35340.01,5,0.324,46.0,NaN
35400.01,5,0.548,49.0,NaN
35460.01,5,0.45200000000000007,48.0,NaN
35520.01,5,0.484,29.0,NaN
35580.01,5,0.54,37.0,NaN
35640.01,5,0.458,36.0,NaN
35700.01,5,0.47400000000000003,41.0,NaN
35760.01,5,0.394,41.0,NaN
35820.01,5,0.4,37.0,NaN
35880.01,5,0.42800000000000005,34.0,NaN
35940.01,5,0.434,33.0,NaN
36000.01,5,0.386,31.0,NaN
36060.01,5,0.406,24.0,NaN
36120.01,5,0.442,36.0,NaN
36180.01,5,0.364,55.0,NaN
36240.01,5,0.462,70.0,NaN
36300.01,5,0.4800000000000001,73.0,NaN
36360.01,5,0.402,70.0,NaN
36420.01,5,0.442,54.0,NaN
36480.01,5,0.5,52.0,NaN
36540.01,5,0.538,49.0,NaN
36600.01,5,0.44000000000000006,50.0,NaN
36660.01,5,0.536,48.0,NaN
36720.01,5,0.518,50.0,NaN
36780.01,5,0.406,51.0,NaN
36840.01,5,0.47000000000000003,62.0,NaN
36900.01,5,0.51,71.0,NaN
36960.01,5,0.47800000000000004,74.0,NaN
37020.01,5,0.34,79.0,NaN
37080.01,5,0.292,69.0,NaN
37140.01,5,0.476,57.0,NaN
37200.01,5,0.438,55.0,NaN
37260.01,5,0.27199999999999996,52.0,NaN
37320.01,5,0.5860000000000001,57.0,NaN
37380.01,5,0.538,55.0,NaN
37440.01,5,0.40800000000000003,49.0,NaN
37500.01,5,0.538,55.0,NaN
37560.01,5,0.322,57.0,NaN
37620.01,5,0.316,65.0,NaN
37680.01,5,0.442,64.0,NaN
37740.01,5,0.43200000000000005,61.0,NaN
37800.01,5,0.4619999999999999,55.0,NaN
37860.01,5,0.516,59.0,NaN
37920.01,5,0.608,70.0,NaN
37980.01,5,0.29400000000000004,74.0,NaN
38040.01,5,0.382,78.0,NaN
38100.01,5,0.508,76.0,NaN
38160.01,5,0.65,72.0,NaN
38220.01,5,0.34199999999999997,67.0,NaN
38280.01,5,0.604,60.0,NaN
38340.01,5,0.32199999999999995,50.0,NaN
38400.01,5,0.42200000000000004,47.0,NaN
38460.01,5,0.398,56.0,NaN
38520.01,5,0.364,59.0,NaN
38580.01,5,0.528,62.0,NaN
38640.01,5,0.5119999999999999,60.0,NaN
38700.01,5,0.6180000000000001,62.0,NaN
38760.01,5,0.7580000000000001,69.0,NaN
38820.01,5,0.394,63.0,NaN
38880.01,5,0.366,66.0,NaN
38940.01,5,0.44800000000000006,59.0,NaN
39000.01,5,0.6359999999999999,53.0,NaN
39060.01,5,0.41600000000000004,58.0,NaN
39120.01,5,0.5559999999999999,46.0,NaN
39180.01,5,0.388,49.0,NaN
39240.01,5,0.562,50.0,NaN
39300.01,5,0.5439999999999999,58.0,NaN
39360.01,5,0.47400000000000003,70.0,NaN
39420.01,5,0.44799999999999995,65.0,NaN
39480.01,5,0.44000000000000006,66.0,NaN
39540.01,5,0.266,60.0,NaN
39600.01,5,0.392,57.0,NaN
39660.01,5,0.5459999999999999,50.0,NaN
39720.01,5,0.46799999999999997,48.0,NaN
39780.01,5,0.398,52.0,NaN
39840.01,5,0.516,61.0,NaN
39900.01,5,0.382,69.0,NaN
